"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 12 11:26:42 GMT 2023","Fri May 12 11:26:47 GMT 2023","5288","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","unsuccessfulCheckEMail","Проверка доменного имени почты","Проверяем, что у каждого пользователя поле email заканчивается на  @mail.ru"
"passed","Fri May 12 11:26:48 GMT 2023","Fri May 12 11:26:48 GMT 2023","132","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [2] 2","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:26:52 GMT 2023","Fri May 12 11:26:52 GMT 2023","392","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [12] 12","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:26:50 GMT 2023","Fri May 12 11:26:50 GMT 2023","409","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [8] 8","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:26:56 GMT 2023","Fri May 12 11:26:56 GMT 2023","341","","reqres.home_work.PostRegisterTest","","reqres.home_work.PostRegisterTest","successfulRegUser","Успешная регистрация пользователя","Регистрируем пользователя под передаваемымми в запросе email и password"
"passed","Fri May 12 11:26:48 GMT 2023","Fri May 12 11:26:49 GMT 2023","449","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [3] 3","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"failed","Fri May 12 11:26:52 GMT 2023","Fri May 12 11:26:54 GMT 2023","1446","","reqres.home_work.PutUpdateTest","","reqres.home_work.PutUpdateTest","unsuccessfulUpdateUser","Неуспешное обновление полей name и job у пользователя","Обновляем поля name и job у пользователя"
"passed","Fri May 12 11:26:48 GMT 2023","Fri May 12 11:26:48 GMT 2023","449","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [1] 1","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:26:49 GMT 2023","Fri May 12 11:26:50 GMT 2023","407","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [5] 5","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:26:51 GMT 2023","Fri May 12 11:26:52 GMT 2023","366","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [11] 11","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:26:54 GMT 2023","Fri May 12 11:26:55 GMT 2023","360","","reqres.home_work.DeleteUserTest","","reqres.home_work.DeleteUserTest","successfulDelUser","Успешное удаление пользователя [2] 2","Удаляем пользователей с id, передаваемыми в методе"
"failed","Fri May 12 11:26:56 GMT 2023","Fri May 12 11:26:56 GMT 2023","402","","reqres.home_work.PostRegisterTest","","reqres.home_work.PostRegisterTest","unsuccessfulRegUser","Неуспешная регистрация пользователя","Регистрируем пользователя под передаваемымми в запросе email и password"
"passed","Fri May 12 11:26:50 GMT 2023","Fri May 12 11:26:51 GMT 2023","404","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [9] 9","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:26:50 GMT 2023","Fri May 12 11:26:50 GMT 2023","90","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [7] 7","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:26:54 GMT 2023","Fri May 12 11:26:54 GMT 2023","425","","reqres.home_work.DeleteUserTest","","reqres.home_work.DeleteUserTest","successfulDelUser","Успешное удаление пользователя [1] 1","Удаляем пользователей с id, передаваемыми в методе"
"passed","Fri May 12 11:26:54 GMT 2023","Fri May 12 11:26:54 GMT 2023","412","","reqres.home_work.PutUpdateTest","","reqres.home_work.PutUpdateTest","successfulUpdateUser","Успешное обновление полей name и job у пользователя","Обновляем поля name и job у пользователя"
"failed","Fri May 12 11:26:55 GMT 2023","Fri May 12 11:26:55 GMT 2023","380","","reqres.home_work.DeleteUserTest","","reqres.home_work.DeleteUserTest","unsuccessfulDelUser","unsuccessfulDelUser(String) [1] 31","Неуспешное удаление пользователя"
"passed","Fri May 12 11:26:49 GMT 2023","Fri May 12 11:26:49 GMT 2023","464","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [4] 4","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:26:51 GMT 2023","Fri May 12 11:26:51 GMT 2023","386","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [10] 10","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"failed","Fri May 12 11:26:55 GMT 2023","Fri May 12 11:26:56 GMT 2023","381","","reqres.home_work.DeleteUserTest","","reqres.home_work.DeleteUserTest","unsuccessfulDelUser","unsuccessfulDelUser(String) [2] 202","Неуспешное удаление пользователя"
"passed","Fri May 12 11:26:50 GMT 2023","Fri May 12 11:26:50 GMT 2023","404","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [6] 6","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
